AcctNo,Company,First,Last,Address,City,State,Zip,Country,Grower,FarmID,FieldID,Received,Processed,Matrix,LabID,label,Total C (%),Replicate,Total N (%),Comments,bulk_density,root_density ,c_stock (g),c_stock (kg),
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34364,14,1.28,1,0.06,,1.247119938,0.000258532,20250.69604,20.25069604,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34365,15,2.11,1,0.13,,0.846642329,0.000595511,22662.31104,22.66231104,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34366,16,2.68,1,0.12,,0.833370371,0.000146041,28333.13382,28.33313382,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34367,17,2.49,1,0.14,,0.788830374,0.000315764,24917.51537,24.91751537,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34368,18,1.93,1,0.09,,0.857052674,0.000420361,20983.91828,20.98391828,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34369,19,2.99,1,0.12,,0.753886642,0.000183044,28595.58591,28.59558591,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34370,20,1.52,1,0.07,,0.743051989,6.02E-05,14327.96632,14.32796632,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34371,21,1.44,1,0.09,,0.969691627,0.000424801,17714.0514,17.7140514,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34372,22,4.39,1,0.24,,0.671926632,0.004536641,37420.37522,37.42037522,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34373,23,1.27,1,0.07,,0.955334231,0.000632021,15391.49563,15.39149563,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34374,24,2.07,1,0.1,,0.995514712,0.001074584,26142.05903,26.14205903,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34375,25,1.26,1,0.06,,1.00842206,0.000426281,16118.87197,16.11887197,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34376,1,1.92,2,0.11,,0.867179326,0.000254091,21121.84772,21.12184772,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34377,2,1.21,2,0.08,,0.971517138,5.72E-05,14912.74526,14.91274526,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34378,3,3.12,2,0.16,,0.672824093,0.000369049,26630.41237,26.63041237,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34379,4,1.79,2,0.08,,1.187864843,0.000433682,26973.78072,26.97378072,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34380,5,1.11,2,0.07,,0.955894712,0.000108051,13460.3019,13.4603019,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34381,6,2.36,2,0.11,,1.088251156,5.08E-05,32580.88696,32.58088696,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34382,7,1.32,2,0.07,,0.950919455,0.001186582,15923.5328,15.9235328,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34383,8,4.12,2,0.2,,0.838254846,0.000220541,43812.19901,43.81219901,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34384,9,2.69,2,0.14,,0.898990086,0.000469699,30678.13437,30.67813437,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34385,10,2.51,2,0.12,,0.849997321,0.000239783,27065.31222,27.06531222,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34386,11,1.69,2,0.08,,0.615443847,0.000953213,13194.62044,13.19462044,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34387,12,2.63,2,0.17,,0.947834835,0.000322178,31623.51766,31.62351766,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34388,13,3.02,2,0.15,,0.836133307,0.000772635,32033.48798,32.03348798,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34389,14,1.24,2,0.05,,1.247119938,0.000258532,19617.86179,19.61786179,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34390,15,1.74,2,0.11,,0.846642329,0.000595511,18688.35129,18.68835129,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34391,16,3.81,2,0.16,,0.833370371,0.000146041,40279.5671,40.2795671,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34392,17,2.75,2,0.13,,0.788830374,0.000315764,27519.34428,27.51934428,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34393,18,2.21,2,0.11,,0.857052674,0.000420361,24028.2173,24.0282173,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34394,19,2.06,2,0.1,,0.753886642,0.000183044,19701.30668,19.70130668,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34395,20,1.13,2,0.07,,0.743051989,6.02E-05,10651.7118,10.6517118,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34396,21,1.54,2,0.11,,0.969691627,0.000424801,18944.19386,18.94419386,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34397,22,4.9,2,0.27,,0.671926632,0.004536641,41767.61699,41.76761699,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34398,23,1.35,2,0.07,,0.955334231,0.000632021,16361.03866,16.36103866,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34399,24,1.88,2,0.09,,0.995514712,0.001074584,23742.54636,23.74254636,
306,UGA,,,1111 MILLER PLANT SCIENCES,ATHENS,GA,30602,United States,REBECCA ABNEY,2023,,11/2/23,11/9/23,Soil,34400,25,1.09,2,0.05,,1.00842206,0.000426281,13944.10353,13.94410353,
